name,mobile,kajukatri,mohanthal,magas,toprapak,singpak,sata,motichurladu,fancy_chevdo,pauva_checdo_tikho,pauva_chevdo_mitho,surti_chavanu,flower_gathiya,tikha_gathiya,cholafali,mathiya,dryfruit_cookies,jira_khari,masala_khari,farali_tikho_chevdo,farali_rajwadi_mitho_chevdo,farali_nylon_tikho_chevdo,farali_singpuri,farali_biscuit,farali_nankhatai,ordered
Scott Ingram,0305073829,,,,,,,,,,,,,,0.5,,,,,,,,,,,False
Sara Wilson,6657839354,,,,,,,,,0.5,,,0.5,,,,,0.2,0.2,,,,,,,False
Andrea Russell,7875719105,,,0.5,,,,,,,,,,0.5,0.5,,,,,,,,,,,False
Donna Morrison,6467322097,,,,,,,,,,,,,,0.5,,,0.2,0.2,,,,,,,False
Alex Williams,4309985809,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,False
Angela Dawson,3032470900,,1.0,1.0,,0.5,,,,0.5,,,,,1.0,1.0,,,,,,1.0,,,,False
Caitlin Parker,6501719142,,,,,,0.5,,,,,,,,,,,,,,,,,,,False
Kaylee Nichols,9871882246,,0.5,,,,0.5,,,,,,,,0.5,,,,,,,,,,,False
Shelley Delgado,9585775090,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,False
Zachary Marshall,0139538745,,,,,,,,,,,,,,,,,,,,,1.0,,,,False
Anthony Flowers,3412839651,,0.5,0.5,,,1.0,,,,1.0,,,,,,,,,,0.5,,,,,False
Megan Vaughn,4165351936,0.5,,,,,0.5,,,,,,,,,,,,,,,,0.2,,,False
Antonio Wagner,8313732594,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,0.2,False
Margaret Fernandez,3046393758,,,,,,,,,,,,,,0.5,,,,,,,,,,,False
Jody Hawkins,5735313460,,,,1.0,,1.0,,,,,0.5,0.5,0.5,,,,,,,,,,,,False
Melinda Hendrix,1831649061,,,0.5,,,,,,,,0.5,,,,,,,,,,,,,,False
Jennifer Schaefer,3682749172,,0.5,,,,,,,,,,,,,,,,,,,,,,,False
Don Hays,4477072679,,0.5,,,,,,,0.5,,0.5,,0.5,,,,,,,,,,,,False
Joel Davis,5815232145,,,,1.0,,,,,,,,,,,,,,,,0.5,0.5,,,,False
Ryan Young,8175265915,,,,,,,,,,0.5,,,,0.5,0.5,,,0.2,,,0.5,,,,False
Susan Banks,5086695447,,,,,,,,0.5,,,,,,,,,,,1.0,,,,,,False
Lisa Fields,9450707348,0.5,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,False
Karen Hernandez,1124843493,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,False
Joseph Murray,8637107180,0.5,0.5,,0.5,,,,0.5,,,0.5,,,,,,,,,0.5,0.5,0.2,0.2,0.2,False
